Complexity,Loss,Equation
1,8.5005045,"-6.8924026"
3,5.917652,"(-4.742155 / r)"
4,5.4196653,"(-4.320099 / sin(r))"
5,1.9873936,"((6.9620643 * r) + -13.255012)"
7,1.080157,"((r * (4.067421 * r)) - 10.836085)"
9,0.50185126,"(((r * (r * r)) * 2.7962236) - 10.048796)"
11,0.18215543,"(((r * (r * (r * r))) * 1.9810061) - 9.643254)"
13,0.000203429,"((((r * r) * r) * ((r * r) * r)) - 9.189636)"
15,0.00016371057,"((((((r * r) * (r * r)) * r) - -0.01719162) * r) - 9.205347)"
17,0.00015196801,"(((((((r * (r * r)) * r) / 1.0032203) + 0.015233371) * r) * r) - 9.1977625)"
18,0.000118973556,"(((((((r * (r * r)) * r) / inv(0.9930476)) + 0.036601033) * r) * r) - 9.209152)"
